"ID","production","yield","zone","TargetProduction"
1,1439737.9,1535.68915255629,"NORTH CENTRAL",1952281.74804535
2,1565123.4,1492.7217258838,"NORTH EAST",2122304.23833302
3,1421457.1,2141.19761088253,"NORTH WEST",1927493.019361
4,422663.2,1781.66165513846,"SOUTH EAST",573130.464184099
5,573666.6,1746.40233764099,"SOUTH SOUTH",777890.776260895
6,784392.8,1786.65676202885,"SOUTH WEST",1063635.08714898
